,race_id,dist,place,dog_id,box,split_times,split_margins,run_time
236,139363674,390m,8,169590004,5,8.95,0.30,23.83
237,139363673,390m,1,606840006,5,8.52,0.00,22.75
238,139363673,390m,2,946340081,1,8.75,0.23,22.91
239,139363673,390m,3,1028790044,2,8.68,0.16,23.18
240,139363673,390m,4,825780058,7,8.78,0.26,23.33
241,139363673,390m,5,-744680,8,8.63,0.11,23.37
242,139363673,390m,6,257120019,3,9.10,0.58,23.41
243,139363673,390m,7,-742450,4,9.24,0.72,23.56
244,139363673,390m,8,422220004,6,8.82,0.30,23.58
245,139363671,390m,1,968090000,4,8.47,0.00,22.44
246,139363671,390m,2,224910011,6,8.61,0.14,22.64
247,139363671,390m,3,-726070,8,8.68,0.21,22.90
248,139363671,390m,4,630640015,3,8.96,0.49,22.91
249,139363671,390m,5,-751927,5,8.93,0.46,22.97
250,139363671,390m,6,146460134,1,9.10,0.63,22.97
251,139363671,390m,7,-751983,2,8.82,0.35,23.19
252,139363671,390m,8,778750012,7,8.93,0.46,23.23
253,139363672,390m,1,657210088,2,8.49,0.00,22.88
254,139363672,390m,2,-748675,3,8.70,0.21,22.91
255,139363672,390m,3,294010089,8,8.70,0.21,23.00
256,139363672,390m,4,641470000,4,8.77,0.28,23.19
257,139363672,390m,5,968090006,6,8.88,0.39,23.34
258,139363672,390m,6,205160021,5,9.23,0.74,23.36
259,139363672,390m,7,-723995,7,8.77,0.28,23.54
260,139363672,390m,8,602160018,1,9.23,0.74,23.70
261,460054275,390m,1,288367083,1,8.42,0.00,22.41
262,460054275,390m,2,264793029,6,8.58,0.16,22.73
263,460054275,390m,3,321686596,2,8.63,0.21,22.80
264,460054275,390m,4,222064245,4,8.64,0.22,23.00
265,460054275,390m,5,321686593,5,8.85,0.43,23.33
266,460054275,390m,6,238889826,3,8.74,0.32,23.61
267,460054275,390m,7,282304482,7,8.90,0.48,23.65
268,460054275,390m,8,265782607,8,8.65,0.23,23.80
269,460054272,450m,1,300930160,4,6.69,0.01,25.77
270,460054272,450m,2,314367485,7,6.93,0.25,26.13
271,460054272,450m,3,121725494,8,7.01,0.33,26.26
272,460054272,450m,4,314367484,2,6.77,0.09,26.38
273,460054272,450m,5,273589589,5,6.68,0.00,26.42
274,460054272,450m,6,244575682,3,6.97,0.29,26.53
275,460054272,450m,7,323694604,1,6.91,0.23,26.63
276,460054272,450m,8,247780579,6,7.00,0.32,27.04
277,460054273,450m,1,314367486,1,6.83,0.18,25.51
278,460054273,450m,2,286157746,4,6.65,0.00,25.62
